iter	Passed	Remaining
0	5386	5380673
1	9695	4838170
2	13274	4411572
3	17549	4369762
4	21503	4279153
5	25775	4270071
6	30230	4288396
7	36087	4474855
8	40489	4458394
9	44129	4368849
10	48417	4353129
11	52641	4334143
12	56906	4320511
13	61484	4330261
14	67747	4448756
15	72302	4446629
16	76611	4429964
17	81211	4430522
18	85349	4406733
19	89383	4379767
20	95107	4433823
21	101019	4490763
22	104893	4455684
23	109488	4452519
24	113947	4443943
25	119061	4460237
26	123891	4464674
27	128339	4455201
28	136072	4556070
29	140447	4541151
30	145863	4559411
31	150728	4559522
32	156032	4572212
33	160791	4568377
34	167049	4605789
35	172479	4618619
36	176213	4586322
37	180815	4577487
38	184420	4544311
39	189627	4551061
40	193591	4528162
41	197936	4514848
42	204147	4543468
43	208266	4525073
44	213505	4531060
45	217387	4508429
46	219946	4459760
47	223890	4440504
48	227746	4420141
49	233311	4432913
50	238568	4439253
51	243624	4441455
52	247304	4418826
53	252321	4420301
54	256585	4408612
55	261225	4403514
56	267224	4420922
57	271562	4410543
58	275720	4397515
59	279189	4373973
60	284108	4373414
61	287499	4349586
62	291957	4342293
63	296604	4337841
64	301449	4336231
65	305749	4326818
66	310327	4321431
67	315127	4319099
68	319853	4315706
69	325069	4318775
70	331345	4335496
71	336691	4339576
72	341270	4333672
73	346162	4331711
74	351787	4338712
75	356163	4330197
76	363879	4361833
77	368622	4357306
78	372914	4347524
79	376809	4333313
80	379478	4305439
81	383574	4294168
82	388181	4288708
83	392146	4276265
84	399817	4303922
85	403780	4291345
86	408234	4284114
87	412490	4274906
88	416710	4265427
89	420822	4254986
90	424657	4241908
91	430995	4253735
92	434803	4240498
93	439277	4233883
94	442655	4216874
95	447394	4212968
96	451675	4204776
97	456317	4199986
98	462565	4209813
99	466788	4201093
100	471227	4194387
101	475127	4182983
102	479604	4176746
103	483637	4166723
104	489782	4174811
105	494228	4168300
106	499961	4172578
107	504364	4165681
108	508999	4160723
109	512722	4148394
110	517075	4141265
111	522169	4140054
112	526332	4131479
113	530411	4122324
114	534547	4113694
115	539339	4110137
116	543296	4100265
117	548265	4098054
118	553775	4099798
119	558721	4097293
120	563121	4090771
121	566746	4078715
122	570965	4071031
123	575043	4062404
124	579587	4057113
125	585980	4064658
126	591014	4062640
127	595429	4056363
128	600012	4051250
129	604499	4045499
130	608932	4039404
131	613512	4034310
132	619640	4039309
133	624083	4033256
134	627961	4023602
135	632462	4017996
136	636628	4010294
137	641364	4006204
138	645736	3999851
139	650556	3996275
140	657330	4004586
141	661148	3994824
142	666255	3992876
143	670403	3985174
144	675143	3981021
145	678947	3971375
146	686450	3983278
147	692211	3984895
148	696614	3978649
149	701465	3974970
150	705560	3967026
151	709950	3960774
152	716583	3966971
153	720861	3960059
154	724978	3952299
155	729272	3945553
156	733695	3939522
157	738581	3935983
158	743733	3933836
159	748001	3927005
160	753060	3924335
161	756559	3913562
162	761342	3909468
163	764893	3899091
164	769712	3895212
165	773853	3887912
166	778446	3882907
167	783807	3881715
168	788342	3876404
169	792390	3868727
170	796410	3860961
171	800719	3854624
172	804676	3846632
173	809040	3840616
174	814075	3837783
175	817606	3827882
176	820906	3816981
177	825004	3809853
178	829336	3803827
179	833250	3795920
180	837465	3789415
181	843422	3790766
182	847215	3782377
183	851635	3776819
184	855911	3770634
185	860610	3766329
186	864833	3759942
187	870045	3757855
188	874143	3750956
189	878166	3743764
190	882573	3738229
191	886565	3730961
192	890938	3725323
193	895266	3719508
194	899631	3713864
195	904524	3710395
196	909906	3708909
197	914149	3702767
198	917703	3693870
199	922408	3689633
200	925911	3680613
201	930434	3675676
202	934220	3667850
203	939125	3664429
204	943178	3657693
205	947505	3652034
206	952340	3648338
207	956265	3641166
208	960634	3635701
209	964529	3628466
210	969157	3624004
211	973009	3616657
212	981388	3626068
213	986308	3622611
214	996708	3639143
215	1000762	3632397
216	1004675	3625165
217	1010811	3625937
218	1014760	3618848
219	1019206	3613549
220	1023538	3607856
221	1027680	3601509
222	1038529	3618554
223	1056870	3661302
224	1064114	3665284
225	1067970	3657561
226	1072544	3652320
227	1076394	3644634
228	1080699	3638513
229	1087361	3640297
230	1091534	3633724
231	1097853	3634272
232	1102635	3629704
233	1107339	3624880
234	1111627	3618702
235	1116459	3614302
236	1120747	3608143
237	1125707	3604155
238	1129482	3596387
239	1133947	3590833
240	1137954	3583847
241	1142735	3579312
242	1147462	3574606
243	1152838	3571907
244	1157503	3567001
245	1162448	3562952
246	1167348	3558758
247	1172326	3554797
248	1177306	3550831
249	1183148	3549444
250	1189451	3549398
251	1194740	3546293
252	1199387	3541274
253	1204122	3536517
254	1208483	3530666
255	1212542	3523952
256	1216846	3517963
257	1221063	3511739
258	1227326	3511385
259	1231349	3504608
260	1235861	3499239
261	1240026	3492897
262	1245026	3488915
263	1249125	3482411
264	1258389	3490250
265	1262750	3484431
266	1270339	3487485
267	1274611	3481401
268	1279441	3476847
269	1285996	3476952
270	1295995	3486275
271	1301148	3482485
272	1304680	3474368
273	1311076	3473875
274	1317807	3474219
275	1322282	3468596
276	1326736	3462927
277	1332241	3459992
278	1337807	3457202
279	1341984	3450818
280	1347165	3447018
281	1355694	3451732
282	1359673	3444825
283	1363671	3437988
284	1367296	3430234
285	1371383	3423664
286	1375449	3417057
287	1381921	3416416
288	1385859	3409501
289	1390364	3403996
290	1394319	3397155
291	1398967	3392016
292	1403094	3385622
293	1408855	3383169
294	1413063	3376983
295	1416903	3369932
296	1419346	3359597
297	1423017	3352208
298	1427587	3346953
299	1431504	3340176
300	1436368	3335618
301	1440990	3330501
302	1447114	3328841
303	1451276	3322658
304	1454766	3314960
305	1460137	3311553
306	1464021	3304777
307	1468751	3299922
308	1472795	3293533
309	1477365	3288328
310	1481919	3283095
311	1486563	3278063
312	1492253	3275329
313	1496666	3269786
314	1502153	3266588
315	1507237	3262501
316	1512348	3258467
317	1517171	3253807
318	1523034	3251368
319	1527557	3246058
320	1533062	3242833
321	1536671	3235600
322	1541071	3230047
323	1545363	3224277
324	1549717	3218643
325	1553852	3212565
326	1560798	3212285
327	1564862	3206059
328	1569872	3201777
329	1574261	3196227
330	1579282	3191963
331	1584439	3187969
332	1589366	3183505
333	1597626	3185687
334	1602184	3180455
335	1607827	3177374
