iter	Logloss	Accuracy
0	0.6860714604	0.8125701459
1	0.6799993081	0.8092031425
2	0.6747329764	0.8092031425
3	0.6682238812	0.8092031425
4	0.6625344056	0.8069584736
5	0.6575493128	0.810325477
6	0.6514393757	0.810325477
7	0.6459279003	0.8069584736
8	0.6402582409	0.8080808081
9	0.6354880034	0.8024691358
10	0.6311730071	0.8024691358
11	0.6272315	0.8148148148
12	0.6228373244	0.8069584736
13	0.6176238454	0.8080808081
14	0.6129053973	0.8058361392
15	0.6101548983	0.8114478114
16	0.6057291105	0.8114478114
17	0.6013945652	0.8159371493
18	0.5967908263	0.8159371493
19	0.5931487385	0.8125701459
20	0.5893854572	0.8092031425
21	0.5871571695	0.8159371493
22	0.5833197014	0.8159371493
23	0.5794625187	0.8148148148
24	0.5763045406	0.8136924804
25	0.5742800484	0.8136924804
26	0.5711033167	0.8125701459
27	0.5670788444	0.8114478114
28	0.5637507781	0.8125701459
29	0.5609856727	0.8114478114
30	0.5576612322	0.8148148148
31	0.5558841297	0.8148148148
32	0.5539953377	0.8148148148
33	0.5508949914	0.8148148148
34	0.5482707385	0.8148148148
35	0.5452150862	0.8148148148
36	0.5430690345	0.8148148148
37	0.5406986372	0.8148148148
38	0.5391946094	0.8136924804
39	0.5360621516	0.8136924804
40	0.5334896366	0.8136924804
41	0.5310689728	0.8136924804
42	0.5297403424	0.8125701459
43	0.5281836995	0.8125701459
44	0.5263367281	0.8125701459
45	0.5248107264	0.8125701459
46	0.5228052002	0.8125701459
47	0.5207824952	0.8125701459
48	0.5190247635	0.8136924804
49	0.5173353145	0.8136924804
50	0.5162365799	0.8136924804
51	0.5138659753	0.8136924804
52	0.5121491222	0.8125701459
53	0.5099263511	0.8125701459
54	0.508929098	0.8136924804
55	0.507928333	0.8125701459
56	0.506972733	0.8114478114
57	0.5053487119	0.8114478114
58	0.5035832453	0.8114478114
59	0.5021291036	0.8114478114
60	0.501231531	0.8114478114
61	0.4995147541	0.8114478114
62	0.4974410399	0.8114478114
63	0.4965748409	0.8114478114
64	0.4956291911	0.8114478114
65	0.4940988163	0.8114478114
66	0.4925265628	0.8114478114
67	0.490965807	0.8114478114
68	0.4892512477	0.8114478114
69	0.4879853228	0.8114478114
70	0.4865516184	0.8114478114
71	0.4849562779	0.8114478114
72	0.4840591073	0.8114478114
73	0.4825127638	0.8114478114
74	0.4811713631	0.8125701459
75	0.4805644861	0.8125701459
76	0.4793498306	0.8125701459
77	0.4781673859	0.8125701459
78	0.4768717426	0.8125701459
79	0.475959337	0.8125701459
80	0.4744070214	0.8125701459
81	0.4733261552	0.8125701459
82	0.4717606842	0.8125701459
83	0.4706703512	0.8125701459
84	0.4694121726	0.8125701459
85	0.4683986297	0.8125701459
86	0.4678355354	0.8125701459
87	0.4664298943	0.8125701459
88	0.4653660565	0.8125701459
89	0.4648889402	0.8125701459
90	0.4639232642	0.8125701459
91	0.4635005732	0.8125701459
92	0.4627606906	0.8125701459
93	0.4614066374	0.8125701459
94	0.4605959088	0.8125701459
95	0.4595250145	0.8136924804
96	0.4582243876	0.8136924804
97	0.4578286603	0.8136924804
98	0.4571125207	0.8136924804
99	0.4564439826	0.8136924804
100	0.4560439444	0.8125701459
101	0.4550419483	0.8148148148
102	0.4538029946	0.8136924804
103	0.4529659215	0.8159371493
104	0.4526419435	0.8159371493
105	0.4513111371	0.8148148148
106	0.4505348373	0.8148148148
107	0.4496039437	0.8148148148
108	0.4493257708	0.8148148148
109	0.4486964961	0.8148148148
110	0.4479840786	0.8159371493
111	0.447597318	0.8148148148
112	0.4471193323	0.8148148148
113	0.4463755068	0.8159371493
114	0.4455764409	0.8159371493
115	0.4452172959	0.8159371493
116	0.4446452675	0.8159371493
117	0.4436917597	0.8159371493
118	0.4429228306	0.8159371493
119	0.4422592684	0.8159371493
