iter	Passed	Remaining
0	49	49810
1	51	25647
2	53	17667
3	55	13717
4	56	11328
5	58	9772
6	61	8677
7	63	7820
8	65	7196
9	68	6737
10	69	6208
11	69	5757
12	71	5420
13	73	5176
14	75	4927
15	76	4680
16	77	4497
17	79	4357
18	81	4212
19	83	4088
20	85	3971
21	86	3835
22	88	3744
23	90	3665
24	91	3559
25	92	3462
26	93	3377
27	95	3309
28	96	3238
29	98	3175
30	100	3141
31	101	3070
32	102	3018
33	104	2979
34	106	2947
35	108	2906
36	110	2872
37	111	2832
38	112	2777
39	114	2752
40	116	2722
41	117	2681
42	118	2632
43	119	2586
44	120	2563
45	121	2526
46	122	2491
47	124	2473
48	126	2448
49	126	2411
50	127	2376
51	129	2353
52	130	2331
53	132	2315
54	132	2282
55	133	2253
56	134	2223
57	135	2203
58	137	2192
59	138	2176
60	139	2152
61	141	2140
62	143	2132
63	144	2110
64	145	2088
65	147	2082
66	148	2072
67	150	2063
68	152	2057
69	154	2050
70	155	2038
71	158	2036
72	159	2028
73	161	2021
74	163	2010
75	163	1988
76	165	1979
77	166	1973
78	168	1962
79	170	1960
80	172	1951
81	174	1948
82	175	1941
83	177	1935
84	179	1928
85	181	1924
86	182	1915
87	183	1904
88	185	1901
89	187	1891
90	188	1885
91	189	1872
92	191	1871
93	194	1874
94	196	1874
95	199	1875
96	200	1869
97	202	1861
98	203	1854
99	205	1850
100	206	1839
101	208	1833
102	209	1827
103	211	1825
104	213	1816
105	215	1813
106	216	1809
107	218	1808
108	219	1795
109	221	1790
110	222	1785
111	224	1781
112	225	1772
113	227	1766
114	229	1765
115	230	1759
116	232	1751
117	233	1748
118	235	1744
119	237	1741
120	239	1737
121	240	1732
122	242	1729
123	244	1724
124	245	1721
125	247	1717
126	249	1713
127	250	1706
128	252	1704
129	254	1700
130	255	1697
131	258	1697
132	260	1695
133	261	1692
134	267	1715
135	269	1713
136	273	1724
137	276	1726
138	278	1725
139	280	1726
140	282	1722
141	284	1719
142	286	1717
143	287	1708
144	289	1709
145	291	1707
146	292	1698
147	294	1696
148	299	1707
149	302	1715
150	305	1720
151	308	1720
152	309	1712
153	311	1710
154	312	1704
155	314	1699
156	315	1693
157	316	1687
158	317	1681
159	319	1675
160	320	1669
161	321	1664
162	323	1661
163	323	1651
164	325	1646
165	325	1637
166	327	1631
167	328	1626
168	329	1619
169	329	1610
170	331	1605
171	331	1597
172	332	1589
173	333	1584
174	334	1579
175	336	1574
176	337	1568
177	338	1563
178	339	1558
179	341	1554
180	342	1549
181	344	1546
182	344	1538
183	345	1530
184	345	1523
185	347	1518
186	348	1514
187	349	1509
188	350	1504
189	351	1499
190	352	1494
191	354	1489
192	355	1485
193	356	1481
194	357	1476
195	358	1471
196	359	1467
197	361	1462
198	361	1456
199	362	1451
200	363	1445
201	364	1440
202	365	1436
203	366	1429
204	367	1424
205	368	1420
206	369	1416
207	370	1411
208	372	1407
209	373	1403
210	374	1399
211	375	1394
212	376	1390
213	377	1386
214	378	1382
215	379	1378
216	380	1374
217	382	1370
218	383	1366
219	384	1363
220	386	1360
221	387	1357
222	388	1354
223	390	1353
224	392	1351
225	393	1348
226	395	1346
227	398	1347
228	400	1347
229	402	1347
230	405	1348
231	405	1343
232	407	1341
233	408	1337
234	409	1333
235	410	1330
236	412	1329
237	414	1327
238	416	1326
239	418	1323
240	419	1321
241	420	1316
242	421	1312
243	422	1308
244	423	1304
245	424	1301
246	425	1296
247	425	1291
248	426	1287
249	428	1285
250	429	1281
251	430	1278
252	431	1272
253	432	1269
254	433	1266
255	434	1262
256	435	1259
257	436	1254
258	437	1251
259	438	1248
260	439	1244
261	440	1241
262	441	1238
263	443	1235
264	444	1232
265	445	1230
266	446	1226
267	448	1224
268	449	1221
269	450	1218
270	451	1215
271	452	1212
272	454	1209
273	454	1204
274	455	1200
275	456	1197
276	457	1195
277	458	1192
278	460	1188
279	461	1186
280	462	1182
281	463	1179
282	464	1177
283	465	1174
284	468	1175
285	469	1171
286	470	1168
287	470	1163
288	471	1160
289	472	1157
290	474	1154
291	475	1152
292	475	1148
293	476	1145
294	478	1142
295	479	1139
296	480	1136
297	481	1133
298	482	1130
299	483	1128
300	484	1125
301	485	1122
302	486	1119
303	487	1116
304	488	1112
305	488	1108
306	489	1105
307	491	1103
308	492	1100
309	493	1098
310	494	1095
311	495	1092
312	496	1089
313	496	1084
314	497	1081
315	498	1078
316	499	1075
317	500	1073
318	501	1070
319	502	1067
320	503	1065
321	504	1062
322	505	1060
323	506	1057
324	508	1055
325	509	1052
326	510	1050
327	511	1048
328	512	1045
329	513	1043
330	515	1040
331	515	1037
332	516	1034
333	517	1032
334	518	1030
335	520	1028
336	521	1025
337	522	1023
338	523	1021
339	524	1019
340	525	1016
341	527	1013
342	528	1011
343	529	1009
344	529	1006
345	531	1003
346	532	1001
347	533	999
348	534	997
349	536	996
350	537	993
351	539	992
352	540	991
353	542	989
354	543	987
355	544	985
356	545	981
357	546	979
358	547	977
359	548	975
360	549	971
361	550	969
362	551	967
363	551	964
364	553	963
365	556	964
366	559	964
367	562	965
368	564	965
369	565	963
370	566	960
371	568	959
372	570	958
373	573	960
374	576	960
375	578	959
376	580	959
377	583	960
378	585	958
379	586	956
380	589	957
381	590	955
382	591	953
383	592	950
384	593	948
385	594	945
386	595	942
387	596	940
388	597	938
389	598	936
390	600	935
391	602	935
392	604	934
393	607	933
394	609	933
395	611	933
396	613	931
397	614	928
398	615	927
399	617	926
400	619	925
401	621	924
402	622	922
403	624	920
404	625	918
405	626	916
406	628	915
407	630	914
408	631	912
409	633	911
410	634	909
411	635	907
412	637	905
413	638	903
414	639	901
415	640	899
416	641	896
417	642	894
418	643	892
419	645	890
420	648	891
421	650	890
422	652	889
423	653	888
424	655	886
425	656	884
426	657	882
427	658	880
428	659	878
429	661	877
430	663	876
431	665	875
432	667	873
433	668	871
434	669	869
435	670	867
436	671	865
437	673	863
438	673	861
439	674	858
440	675	855
441	675	853
442	677	851
443	678	849
444	679	847
445	680	844
446	681	842
447	681	840
448	683	838
449	684	836
450	685	834
451	686	832
452	687	830
453	688	828
454	690	826
455	691	824
456	692	822
457	693	820
458	694	819
459	695	816
460	696	814
461	697	812
462	698	810
463	700	808
464	701	806
465	702	804
466	703	803
467	704	800
468	704	798
469	705	795
470	706	793
471	707	791
472	708	789
473	709	787
474	710	785
475	711	783
476	713	781
477	714	779
478	715	777
479	716	775
480	717	773
481	718	772
482	719	770
483	720	768
484	721	765
485	722	763
486	722	761
487	723	759
488	725	757
489	726	756
490	727	753
491	728	752
492	729	750
493	730	747
494	730	745
495	731	742
496	732	741
497	733	739
498	734	737
499	735	735
500	736	733
501	737	731
502	737	728
503	738	727
504	740	725
505	741	723
506	742	722
507	743	719
508	744	717
509	745	716
510	746	714
511	747	712
512	748	710
513	749	708
514	750	706
515	751	704
516	752	703
517	753	701
518	754	698
519	754	696
520	756	695
521	757	693
522	757	691
523	758	689
524	759	686
525	760	684
526	760	682
527	761	680
528	762	678
529	764	677
530	766	676
531	767	674
532	768	673
533	769	671
534	772	671
535	773	669
536	775	668
537	776	667
538	778	665
539	779	664
540	781	663
541	783	662
542	786	661
543	788	660
544	789	659
545	791	658
546	792	656
547	793	654
548	794	652
549	795	650
550	796	648
551	796	646
552	797	644
553	798	642
554	798	640
555	800	638
556	801	637
557	802	635
558	805	635
559	823	646
560	825	645
561	826	643
562	828	643
563	829	641
564	831	640
565	833	639
566	836	638
567	838	637
568	839	636
569	841	635
570	844	634
571	845	632
572	847	631
573	849	630
574	851	629
575	852	627
576	853	625
577	854	624
578	856	622
579	857	621
580	859	620
581	861	618
582	863	617
583	864	616
584	866	615
585	867	613
586	869	611
587	871	610
588	873	609
589	873	607
590	874	605
591	876	604
592	878	603
593	879	601
594	881	600
595	883	598
596	884	597
597	887	596
598	888	594
599	889	593
600	891	592
601	894	591
602	895	589
603	897	588
604	899	587
605	901	586
606	902	584
607	904	583
608	905	581
609	907	580
610	909	579
611	911	577
612	912	575
613	914	574
614	915	573
615	917	572
616	918	570
617	919	568
618	921	567
619	923	566
620	925	564
621	926	562
622	927	561
623	928	559
624	931	558
625	932	557
626	934	555
627	936	554
628	937	553
629	940	552
630	941	550
631	943	549
632	945	548
